	Date	Text	Favorite		
564	2020-10-01 18:26:12	( ✧Д✧) !!	5561		
566	2020-10-01 18:21:57	( ⸝•ᴗ•⸝)♡	228		
567	2020-10-01 17:36:50	m(_ _)m	925		
568	2020-10-01 17:33:16	⸜(*ˊᵕˋ* )⸝	1179		
569	2020-10-01 17:32:46	❀(*´▽`*)❀	1012		
571	2020-10-01 14:00:13	(◍˃ ᵕ ˂◍)	1495		
572	2020-10-01 13:59:00	(〃♥ω♥〃)	485		
573	2020-10-01 13:06:55	(*´︶`*)❤︎	9000		
573	2020-10-01 13:06:55	(▼ω▼)	9000		
578	2020-09-30 19:47:39	(*´ ˘ `*)♡	9514		
580	2020-09-30 15:31:25	( *´꒳`* )	3401		
580	2020-09-30 15:31:25	(*´`)♡	3401		
581	2020-09-30 15:08:16	( ´  • ·̫ •  ` )	4094		
583	2020-09-28 18:23:44	(◜ᴗ◝ )	3135		
584	2020-09-28 12:46:47	( ⸝•ᴗ•⸝)	2003		
585	2020-09-27 23:41:18	(〃´-`〃)	4150		
586	2020-09-27 23:34:49	(๑⃙⃘ˊ꒳​ˋ๑⃙)	5168		
589	2020-09-27 18:45:20	( *´꒳`* )	1179		
590	2020-09-27 18:43:40	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2555		
590	2020-09-27 18:43:40	(* 'ᵕ' )	2555		
591	2020-09-26 23:29:16	⸜(* ॑꒳ ॑*  )⸝⋆*	3024		
592	2020-09-26 14:53:36	⸜(*ˊᵕˋ* )⸝	3631		
592	2020-09-26 14:53:36	(*´`)♡	3631		
593	2020-09-26 14:51:02	(◍˃ ᵕ ˂◍)	2834		
595	2020-09-25 17:22:02	( * ॑˘ ॑*  ) ⁾⁾	2133		
596	2020-09-24 08:00:29	( *˙˙*)	2210		
597	2020-09-23 19:49:01	( *´꒳`* )	1304		
597	2020-09-23 19:49:01	(*⃙⃘´꒳`*⃙⃘)	1304		
599	2020-09-22 22:58:36	(◍˃ ᵕ ˂◍)	2427		
600	2020-09-22 13:16:53	(〃´-`〃)	3811		
601	2020-09-22 10:47:48	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1499		
602	2020-09-21 23:17:34	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	12646		
603	2020-09-21 19:53:10	(◍˃ ᵕ ˂◍)	2324		
604	2020-09-20 23:27:53	(*´ ˘ `*)♡	2155		
606	2020-09-19 23:58:33	(◍˃ ᵕ ˂◍)	3317		
606	2020-09-19 23:58:33	⸜(*ˊᵕˋ* )⸝	3317		
607	2020-09-19 20:07:05	( *´꒳`* )	1714		
612	2020-09-18 23:44:30	(๑⃙⃘ˊ꒳​ˋ๑⃙)	7208		
612	2020-09-18 23:44:30	(*´`)♡	7208		
613	2020-09-18 23:25:23	✩°｡⋆⸜(* ॑꒳ ॑*  )⸝	2000		
613	2020-09-18 23:25:23	(*´`)♡	2000		
614	2020-09-18 23:19:18	(⑉•̆ ·̭ •⑉)	4496		
616	2020-09-18 23:12:16	(*⃙⃘´꒳`*⃙⃘)	2370		
619	2020-09-18 22:23:09	(｡_｡*)	2331		
620	2020-09-18 22:17:05	٩(๑òωó๑)۶	4716		
621	2020-09-18 22:08:34	ପ(⑅ˊᵕˋ⑅)ଓ	805		
622	2020-09-18 22:07:20	⸜(*ˊᵕˋ* )⸝	2086		
623	2020-09-18 21:34:08	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1896		
623	2020-09-18 21:34:08	(´*−∀−)	1896		
625	2020-09-17 21:35:31	(*⃙⃘´꒳`*⃙⃘)	957		
625	2020-09-17 21:35:31	( *˙˙*)	957		
627	2020-09-16 23:20:33	(*´∇｀*)	802		
628	2020-09-15 22:35:00	(*´︶`*)❤︎	2834		
630	2020-09-15 22:33:35	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1214		
634	2020-09-14 23:34:04	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1967		
635	2020-09-13 22:09:23	(*･∀･*)?	17158		
635	2020-09-13 22:09:23	(*⃙⃘´꒳`*⃙⃘)	17158		
636	2020-09-13 14:37:57	(*´∇｀*)	4742		
637	2020-09-13 00:17:10	(((o(♡´▽`♡)o)))	2608		
638	2020-09-13 00:16:20	(*⃙⃘´꒳`*⃙⃘)	3906		
638	2020-09-13 00:16:20	(*ˊᵕˋ*)♪	3906		
639	2020-09-13 00:10:20	ପ(⑅ˊᵕˋ⑅)ଓ	5936		
641	2020-09-12 11:54:52	(*´♡｀*)ﾉ♡	3650		
648	2020-09-11 10:11:45	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1594		
649	2020-09-10 19:06:02	( *˙˙*)	2111		
650	2020-09-09 19:18:38	ପ(⑅ˊᵕˋ⑅)ଓ	5331		
651	2020-09-09 16:10:03	(●´ー｀●)	2139		
652	2020-09-09 13:56:07	( *´꒳`* )	1564		
652	2020-09-09 13:56:07	( ˘꒳˘  )	1564		
653	2020-09-08 15:04:41	(◦ˉ ˘ ˉ◦)	1978		
654	2020-09-08 00:48:20	૮₍´｡• ᵕ •｡`₎ა	851		
655	2020-09-07 22:30:35	(*⃙⃘´꒳`*⃙⃘)	1345		
657	2020-09-06 09:21:31	(*´︶`*)❤︎	666		
657	2020-09-06 09:21:31	(*⃙⃘´꒳`*⃙⃘)	666		
658	2020-09-06 09:17:13	⸜(*ˊᵕˋ* )⸝	381		
658	2020-09-06 09:17:13	(*´ ˘ `*)	381		
659	2020-09-06 09:03:29	(◦ˉ ˘ ˉ◦)	1372		
660	2020-09-06 08:19:29	(๑• . •๑)？	1702		
661	2020-09-04 16:41:29	⸜(* ॑꒳ ॑*  )⸝⋆*	875		
661	2020-09-04 16:41:29	(◍˃ ᵕ ˂◍)	875		
662	2020-09-04 09:13:56	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1454		
663	2020-09-04 01:04:26	(；；)	952		
663	2020-09-04 01:04:26	(*˘︶˘*)	952		
664	2020-09-03 19:18:28	⸜(* ॑꒳ ॑*  )⸝⋆*	1347		
665	2020-09-02 23:55:16	(*⃙⃘´꒳`*⃙⃘)	1413		
666	2020-09-02 22:46:18	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2079		
669	2020-09-01 20:33:32	⸜(*ˊᵕˋ* )⸝	736		
670	2020-09-01 20:28:33	(*´︶`*)❤︎	1986		
671	2020-08-31 23:19:06	⸜(* ॑꒳ ॑*  )⸝⋆*	823		
672	2020-08-31 22:51:45	(；；)	874		
672	2020-08-31 22:51:45	(；；)	874		
675	2020-08-31 21:05:43	( * ॑˘ ॑*  ) ⁾⁾	1756		
675	2020-08-31 21:05:43	(p`･ω･´q)	1756		
676	2020-08-31 21:00:07	(◍˃ ᵕ ˂◍)	1496		
677	2020-08-31 02:27:31	( *´꒳`* )	1520		
677	2020-08-31 02:27:31	(｡•́ - •̀｡)	1520		
678	2020-08-31 00:24:25	(｀-ω-´)✧	2288		
679	2020-08-30 07:53:25	⸜(*ˊᵕˋ* )⸝	1774		
680	2020-08-29 21:42:20	( ˘꒳˘  )	1666		
681	2020-08-28 22:18:20	( ʚ̴̶̷́ .̠ ʚ̴̶̷̥̀ )	1668		
682	2020-08-27 22:38:57	(*ˊᵕˋ*)♪	2861		
683	2020-08-27 11:58:53	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1600		
687	2020-08-26 16:57:36	；＿；	2318		
687	2020-08-26 16:57:36	( ˙꒳​˙  )	2318		
687	2020-08-26 16:57:36	(；；)	2318		
688	2020-08-26 16:18:54	⸜(* ॑꒳ ॑*  )⸝⋆*	747		
689	2020-08-26 16:09:01	⎝｡⌓°⎞	1749		
690	2020-08-26 00:09:43	(*ˊᵕˋ*)♪	1072		
690	2020-08-26 00:09:43	(*⃙⃘´꒳`*⃙⃘)	1072		
690	2020-08-26 00:09:43	(๑ᵕᴗᵕ๑)	1072		
691	2020-08-25 22:47:05	(◍˃ ᵕ ˂◍)	1710		
691	2020-08-25 22:47:05	(* 'ᵕ' )	1710		
692	2020-08-25 22:22:52	( *´꒳`* )	1396		
692	2020-08-25 22:22:52	(◦ˉ ˘ ˉ◦)	1396		
693	2020-08-25 19:30:58	( *¯ ꒳¯*)	778		
694	2020-08-25 16:55:50	(*´♡｀*)ﾉ♡	2574		
695	2020-08-25 16:54:59	⸜(*ˊᵕˋ* )⸝	1350		
696	2020-08-25 00:00:50	(；；)	1172		
697	2020-08-24 21:40:49	( * ॑˘ ॑*  ) ⁾⁾	745		
697	2020-08-24 21:40:49	(•'-'•)	745		
698	2020-08-24 00:55:39	(* ´ ﹀ ` *)	1538		
699	2020-08-23 10:21:55	(*´ ˘ `*)♡	1075		
700	2020-08-23 10:21:36	( *˙˙*)	1697		
700	2020-08-23 10:21:36	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1697		
701	2020-08-23 08:01:32	(*´▽`*)	2956		
703	2020-08-22 17:48:47	(*ˊᵕˋ*)♪	853		
704	2020-08-22 00:09:39	( *´︶`*)	2091		
705	2020-08-21 21:29:02	(*‘ω‘ *)	782		
706	2020-08-21 09:17:52	( *´꒳`* )	1810		
707	2020-08-20 22:04:12	( *´︶`*)	2462		
707	2020-08-20 22:04:12	(〃´-`〃)	2462		
710	2020-08-19 20:54:31	(◍˃ ᵕ ˂◍)	703		
710	2020-08-19 20:54:31	( *´꒳`* )	703		
711	2020-08-19 12:14:47	´ ³`°) ♬︎*.:*	2212		
712	2020-08-18 21:21:22	:,((•﹏•๑))),:	782		
714	2020-08-18 21:20:18	(◦ˉ ˘ ˉ◦)	1520		
715	2020-08-18 21:16:39	( *´꒳`* )	1513		
715	2020-08-18 21:16:39	(•'-'•)	1513		
718	2020-08-17 19:31:18	⸜(* ॑꒳ ॑*  )⸝⋆*	705		
719	2020-08-17 19:30:41	(*ˊᵕˋ*)♪	2616		
720	2020-08-17 08:53:34	（)´д`(）	1767		
720	2020-08-17 08:53:34	⸜(* ॑꒳ ॑*  )⸝	1767		
722	2020-08-16 20:33:11	(◍˃ ᵕ ˂◍)	1487		
722	2020-08-16 20:33:11	🍴(๑'ڡ'๑)♡	1487		
723	2020-08-16 18:38:05	(*⃙⃘´꒳`*⃙⃘)	1498		
724	2020-08-16 14:32:12	(¯﹃¯٥)゛	1798		
725	2020-08-15 15:43:37	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1004		
727	2020-08-14 23:31:47	( ᐢ˙꒳​˙ᐢ )♡	1642		
728	2020-08-14 23:27:43	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	979		
728	2020-08-14 23:27:43	( *´︶`*)	979		
729	2020-08-14 22:06:15	( *´꒳`* )	1937		
731	2020-08-14 09:00:55	(* ´ ` )	1777		
732	2020-08-13 23:00:01	( *˙˙*)	1438		
733	2020-08-12 23:06:39	(*¯꒳¯*)	1683		
734	2020-08-12 12:26:53	(◍˃ ᵕ ˂◍)	2075		
735	2020-08-11 22:34:32	(*￣∀￣*)~゜	2718		
736	2020-08-11 22:33:20	⸜(* ॑꒳ ॑*  )⸝	1154		
739	2020-08-11 22:31:31	( *´꒳`* )	1884		
745	2020-08-11 20:00:22	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2087		
746	2020-08-11 17:30:17	_(⊜﹏⊜_  )_	1752		
747	2020-08-11 00:27:26	(*⃙⃘´꒳`*⃙⃘)	1445		
748	2020-08-10 15:13:44	(*´ω`*)	2207		
749	2020-08-09 20:25:43	(*ˊᵕˋ*)♪	926		
751	2020-08-08 23:47:05	( ´-` ).｡oO	1830		
752	2020-08-08 20:57:11	(*´∇｀*)	951		
752	2020-08-08 20:57:11	(  ◜…	951		
753	2020-08-07 22:15:53	(∩˃o˂∩)♡	5357		
754	2020-08-07 11:01:24	( *´꒳`* )	1370		
755	2020-08-07 00:28:36	(*⃙⃘´꒳`*⃙⃘)	1570		
756	2020-08-06 22:12:45	(｡-∀-｡)	2052		
756	2020-08-06 22:12:45	(*¯꒳¯*)	2052		
757	2020-08-05 17:28:45	⸜(* ॑꒳ ॑*  )⸝⋆*	2471		
757	2020-08-05 17:28:45	(•'-'•)	2471		
758	2020-08-04 22:39:39	( ¯  ¯ )ᐝ	1690		
759	2020-08-04 18:46:44	(*⃙⃘´꒳`*⃙⃘)	2234		
759	2020-08-04 18:46:44	( *˙˙*)	2234		
760	2020-08-03 18:19:08	( *´꒳`* )	2966		
760	2020-08-03 18:19:08	(*ˊᵕˋ*)♪	2966		
761	2020-08-03 18:12:06	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2699		
761	2020-08-03 18:12:06	(〃´-`〃)	2699		
762	2020-08-03 17:50:00	⸜(* ॑꒳ ॑*  )⸝	5249		
762	2020-08-03 17:50:00	(｡ì _ í｡)و♡	5249		
764	2020-08-02 19:53:39	⸜(* ॑꒳ ॑*  )⸝	1857		
764	2020-08-02 19:53:39	(◍˃ ᵕ ˂◍)	1857		
765	2020-08-02 13:11:09	( *´꒳`* )	1725		
766	2020-08-02 00:37:22	(  •̥ ˍ •̥  )	1578		
767	2020-08-01 17:54:00	（)´д`(）	1473		
768	2020-08-01 00:11:54	(•'-'•)	1531		
769	2020-07-31 15:57:57	ヽ(〃’▽’〃)ﾉ☆ﾟ’･:*☆	680		
770	2020-07-30 19:03:12	⸜(* ॑꒳ ॑*  )⸝	1296		
771	2020-07-30 19:02:08	(*´ω`*)	838		
771	2020-07-30 19:02:08	(〃´-`〃)	838		
772	2020-07-30 15:49:14	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2253		
772	2020-07-30 15:49:14	(◍˃ ᵕ ˂◍)	2253		
772	2020-07-30 15:49:14	( *´︶`*)	2253		
774	2020-07-29 21:48:25	(*⃙⃘´꒳`*⃙⃘)	937		
775	2020-07-29 21:45:14	( *´꒳`* )	1080		
776	2020-07-29 21:31:55	*.(๓´͈ ˘ `͈๓).*	1946		
777	2020-07-29 21:31:27	( *˙˙*)	1363		
778	2020-07-29 13:23:19	(◍˃ ᵕ ˂◍)	3052		
778	2020-07-29 13:23:19	( ᐢ˙꒳​˙ᐢ )♡	3052		
779	2020-07-29 13:20:04	(•'-'•)	6656		
780	2020-07-29 03:30:01	( ˶  ᷇ 𖥦  ᷆ ˵ )	3810		
781	2020-07-28 21:56:08	(*ˊᵕˋ*)♪	1014		
782	2020-07-28 21:55:04	(*¯꒳¯*)	1593		
783	2020-07-28 21:54:42	( *´︶`*)	4091		
784	2020-07-28 19:25:09	( *´꒳`* )	2038		
785	2020-07-28 09:36:51	(  '֊' )	1719		
786	2020-07-27 22:23:28	⸜(* ॑꒳ ॑*  )⸝	1924		
786	2020-07-27 22:23:28	(*⃙⃘´꒳`*⃙⃘)	1924		
787	2020-07-27 22:10:09	(*¯꒳¯*)	1571		
787	2020-07-27 22:10:09	( ᐢ˙꒳​˙ᐢ )♡	1571		
788	2020-07-27 19:50:13	( *˙˙*)	1247		
789	2020-07-27 19:04:03	(๑⃙⃘ˊ꒳​ˋ๑⃙)	5074		
790	2020-07-27 16:56:44	( *´︶`*)	672		
791	2020-07-27 16:55:51	(〃´-`〃)	1539		
793	2020-07-27 00:08:18	⸜(* ॑꒳ ॑*  )⸝	1403		
794	2020-07-26 23:24:56	⸜(* ॑꒳ ॑*  )⸝⋆*	929		
795	2020-07-26 14:49:37	(*ˊᵕˋ*)♪	1802		
795	2020-07-26 14:49:37	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1802		
795	2020-07-26 14:49:37	(▼ω▼)	1802		
796	2020-07-26 00:46:21	(〃´-`〃)	3367		
796	2020-07-26 00:46:21	(・・?)	3367		
796	2020-07-26 00:46:21	⸜(* ॑꒳ ॑*  )⸝	3367		
797	2020-07-26 00:35:56	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1892		
799	2020-07-25 22:58:55	⸜(* ॑꒳ ॑*  )⸝⋆*	1273		
800	2020-07-25 15:49:58	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2072		
800	2020-07-25 15:49:58	( *´︶`*)	2072		
801	2020-07-25 13:15:12	⸜(* ॑꒳ ॑*  )⸝⋆*	1742		
801	2020-07-25 13:15:12	( *´꒳`* )	1742		
802	2020-07-24 16:26:37	(〃´-`〃)	76		
802	2020-07-24 16:26:37	(ง •̀_•́)ง	76		
803	2020-07-24 16:20:31	( ᐢ˙꒳​˙ᐢ )♡	3135		
803	2020-07-24 16:20:31	(*⃙⃘´꒳`*⃙⃘)	3135		
804	2020-07-24 16:15:55	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1039		
805	2020-07-23 20:13:27	ᐡ⸝⸝&gt;  ̫ &lt;⸝⸝ᐡ	1598		
805	2020-07-23 20:13:27	(〃´-`〃)	1598		
808	2020-07-23 00:29:57	(*⃙⃘´꒳`*⃙⃘)	645		
808	2020-07-23 00:29:57	( *´︶`*)	645		
809	2020-07-22 22:09:22	( ᐢ˙꒳​˙ᐢ )	2203		
810	2020-07-22 20:34:47	⸜(* ॑꒳ ॑*  )⸝	1259		
810	2020-07-22 20:34:47	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1259		
811	2020-07-22 16:12:33	(◍˃ ᵕ ˂◍)	4344		
813	2020-07-21 20:35:46	( ᐢ˙꒳​˙ᐢ )♡	649		
814	2020-07-21 20:31:01	⸜(* ॑꒳ ॑*  )⸝⋆*	1211		
814	2020-07-21 20:31:01	( *´꒳`* )	1211		
815	2020-07-21 20:24:41	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1840		
815	2020-07-21 20:24:41	(〃´-`〃)	1840		
816	2020-07-21 08:03:41	(*⃙⃘´꒳`*⃙⃘)	1597		
817	2020-07-20 17:22:14	(；；)	1781		
818	2020-07-20 08:13:14	⸜(* ॑꒳ ॑*  )⸝	2215		
818	2020-07-20 08:13:14	(*ˊᵕˋ*)♪	2215		
818	2020-07-20 08:13:14	(๑⃙⃘ˊ꒳…	2215		
819	2020-07-20 08:07:59	(◦ˉ ˘ ˉ◦)	1513		
820	2020-07-19 19:29:35	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	677		
821	2020-07-19 18:41:28	( *´꒳`* )	745		
821	2020-07-19 18:41:28	( ᐢ˙꒳​˙ᐢ )♡	745		
822	2020-07-19 00:11:27	(◍˃ ᵕ ˂◍)	2609		
822	2020-07-19 00:11:27	(〃´-`〃)	2609		
823	2020-07-19 00:01:38	⸜(* ॑꒳ ॑*  )⸝⋆*	1149		
824	2020-07-18 22:06:23	( *˙˙*)	1378		
825	2020-07-17 15:58:10	⸜(* ॑꒳ ॑*  )⸝⋆*	871		
825	2020-07-17 15:58:10	( 　˙³˙　 )	871		
826	2020-07-17 00:44:36	(๑ᵕᴗᵕ๑)	1182		
827	2020-07-17 00:43:57	( *´꒳`* )	1725		
828	2020-07-15 21:06:11	⸜(* ॑꒳ ॑*  )⸝⋆*	887		
829	2020-07-15 21:04:28	( *¯ ꒳¯*)	1374		
830	2020-07-15 20:50:38	( *´꒳`* )	782		
831	2020-07-15 20:40:29	(*¯꒳¯*)	1099		
833	2020-07-15 20:39:02	( *´︶`*)	827		
834	2020-07-15 20:37:58	(◍˃ ᵕ ˂◍)	823		
835	2020-07-15 20:36:17	( *˙˙*)	1159		
836	2020-07-15 20:35:42	(〃´-`〃)	871		
836	2020-07-15 20:35:42	(*ˊᵕˋ*)♪	871		
837	2020-07-15 20:20:01	(*‘ω‘ *)	4528		
837	2020-07-15 20:20:01	⸜(* ॑꒳ ॑*  )⸝	4528		
838	2020-07-14 23:55:13	(◍˃ ᵕ ˂◍)	613		
841	2020-07-14 09:04:08	( *˙˙*)	2599		
841	2020-07-14 09:04:08	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2599		
842	2020-07-14 07:56:01	⸜(* ॑꒳ ॑*  )⸝	1576		
843	2020-07-13 18:43:25	( ˘꒳˘  )	1499		
844	2020-07-13 09:06:44	(；；)	1538		
846	2020-07-13 08:58:00	(；；)	1287		
847	2020-07-13 08:55:27	(◍˃ ᵕ ˂◍)	1780		
848	2020-07-12 21:20:11	(♡¨̮)	741		
849	2020-07-12 21:18:40	(๑¯꒳¯๑)	1283		
849	2020-07-12 21:18:40	( *´꒳`* )	1283		
850	2020-07-12 01:35:01	(｡•ㅅ•｡)♡	1345		
851	2020-07-11 00:39:09	(｡-∀-｡)	1384		
852	2020-07-11 00:34:28	⸜(* ॑꒳ ॑*  )⸝	6996		
852	2020-07-11 00:34:28	( *´꒳`* )	6996		
853	2020-07-11 00:07:10	( ᐢ˙꒳​˙ᐢ )♡	649		
854	2020-07-10 09:48:09	( *˙˙*)	1448		
855	2020-07-09 23:10:33	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1830		
856	2020-07-09 21:02:35	( *´꒳`* )	749		
858	2020-07-09 00:13:44	Σ( ˙꒳​˙  )!?	1191		
859	2020-07-08 23:34:12	♡(๑¯꒳¯๑)	1836		
860	2020-07-07 23:53:04	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1616		
860	2020-07-07 23:53:04	( ᐢ˙꒳​˙ᐢ )♡	1616		
862	2020-07-07 18:48:43	(*ˊᵕˋ*)♪	2080		
865	2020-07-07 13:29:14	( ˶  ᷇ 𖥦  ᷆ ˵ )	1153		
866	2020-07-07 13:21:28	(〈●〉Д〈●〉)	2648		
868	2020-07-07 00:14:52	(〃´-`〃)	1329		
869	2020-07-05 20:40:01	( *´︶`*)	932		
869	2020-07-05 20:40:01	(◦ˉ ˘ ˉ◦)	932		
870	2020-07-05 02:24:46	(´･ωゞ)	1400		
871	2020-07-05 00:55:59	(〃´-`〃)	895		
871	2020-07-05 00:55:59	(*ˊᵕˋ*)♪	895		
872	2020-07-04 21:27:07	(◦ˉ ˘ ˉ◦)	620		
873	2020-07-04 21:20:14	( ⸝⸝•ᴗ•⸝⸝ )	608		
874	2020-07-03 23:28:32	(๑⃙⃘ˊ꒳​ˋ๑⃙)	862		
875	2020-07-03 11:06:50	(〃´-`〃)	461		
876	2020-07-03 11:05:39	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	868		
876	2020-07-03 11:05:39	( ⸝⸝•ᴗ•⸝⸝ )	868		
877	2020-07-03 08:05:28	⸜(* ॑꒳ ॑*  )⸝	1527		
878	2020-07-02 14:47:55	⸜(* ॑꒳ ॑*  )⸝	1057		
880	2020-07-01 15:43:00	( *´︶`*)	2479		
881	2020-06-30 21:21:57	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1340		
882	2020-06-29 21:40:44	( *´꒳`* )	1574		
883	2020-06-29 21:38:51	(〃´-`〃)	1852		
883	2020-06-29 21:38:51	(◦ˉ ˘ ˉ◦)	1852		
884	2020-06-29 19:03:35	(◦ˉ ˘ ˉ◦)	809		
885	2020-06-28 18:09:11	(〃´-`〃)	1259		
885	2020-06-28 18:09:11	(*ˊᵕˋ*)♪	1259		
886	2020-06-28 08:46:22	( *´︶`*)	1635		
887	2020-06-27 22:19:34	(っ﹏-๑)	1548		
888	2020-06-27 19:10:01	(◦ˉ ˘ ˉ◦)	967		
889	2020-06-26 19:28:13	(๑⃙⃘ˊ꒳​ˋ๑⃙)	661		
890	2020-06-26 13:00:31	(ᦲωᦲ,`暑)	1406		
891	2020-06-25 20:48:07	⸝⸝-  ̫ -⸝⸝	1569		
892	2020-06-25 11:11:18	(*ˊᵕˋ*)♪	1109		
893	2020-06-24 12:34:38	( ˙꒳​˙  )	1666		
894	2020-06-23 23:24:28	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1093		
895	2020-06-23 22:59:03	⸜(* ॑꒳ ॑*  )⸝	221		
896	2020-06-23 22:58:43	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1335		
897	2020-06-23 15:28:43	( ⸝⸝•ᴗ•⸝⸝ )	584		
897	2020-06-23 15:28:43	(〃´-`〃)	584		
898	2020-06-23 15:23:17	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1647		
899	2020-06-22 23:39:04	(*ˊᵕˋ*)♪	1544		
900	2020-06-22 21:48:03	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1124		
901	2020-06-22 21:44:00	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1964		
902	2020-06-22 21:40:35	⸜(* ॑꒳ ॑*  )⸝	3825		
902	2020-06-22 21:40:35	( ⸝⸝•ᴗ•⸝⸝ )	3825		
903	2020-06-22 19:19:58	⸜(* ॑꒳ ॑*  )⸝	1517		
904	2020-06-21 20:21:25	*.(๓´͈ ˘ `͈๓).*	1040		
905	2020-06-21 18:11:27	(๑⃙⃘ˊ꒳​ˋ๑⃙)	3873		
905	2020-06-21 18:11:27	( *´꒳`* )	3873		
906	2020-06-21 14:27:20	⸜(* ॑꒳ ॑*  )⸝	1408		
907	2020-06-20 23:44:52	⸜(* ॑꒳ ॑*  )⸝	748		
907	2020-06-20 23:44:52	⸜(๑⃙⃘'ᗜ'…	748		
908	2020-06-20 22:16:48	( ⸝⸝•ᴗ•⸝⸝ )	1425		
909	2020-06-20 22:14:18	(˶ ̇ ̵ ̇˶ )	1304		
911	2020-06-20 18:49:48	( *´꒳`* )	1127		
911	2020-06-20 18:49:48	(*ˊᵕˋ*)♪	1127		
913	2020-06-19 22:35:49	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	863		
914	2020-06-19 16:19:28	*｡.(♥´꒳`*)人(*´꒳`♥).｡*	1566		
915	2020-06-18 23:36:30	♡\(*ˊᗜˋ*)/♡	1001		
916	2020-06-18 21:19:17	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1154		
917	2020-06-18 07:42:36	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	3387		
917	2020-06-18 07:42:36	(*ˊᵕˋ*)♪	3387		
919	2020-06-17 18:28:16	( *´꒳`* )	1522		
919	2020-06-17 18:28:16	( ˶'-'˶)	1522		
922	2020-06-16 22:13:05	( ᐢ˙꒳​˙ᐢ )♡	1697		
922	2020-06-16 22:13:05	⸜(* ॑꒳ ॑*  )⸝	1697		
923	2020-06-15 22:18:11	( *´꒳`* )	1583		
924	2020-06-15 19:10:43	♡\(*ˊᗜˋ*)/♡	7244		
925	2020-06-14 20:46:30	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1781		
928	2020-06-13 22:40:51	:(´◉ᾥ◉｀):	1600		
930	2020-06-13 10:37:35	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1271		
930	2020-06-13 10:37:35	(˶ ̇ ̵ ̇˶ )	1271		
931	2020-06-12 22:17:46	(*¯꒳¯*)	649		
932	2020-06-12 15:02:02	⸜(⑉･̆-･̆⑉)⸝‍	1770		
933	2020-06-11 20:40:48	(๑⃙⃘˙꒳˙๑⃙⃘)	1973		
934	2020-06-11 18:46:30	(*¯꒳¯*)	3994		
934	2020-06-11 18:46:30	(๑⃙⃘ˊ꒳​ˋ๑⃙)	3994		
936	2020-06-10 19:31:02	( *´꒳`* )	2088		
938	2020-06-10 18:09:39	( *´︶`*)	2246		
938	2020-06-10 18:09:39	\(ᯅ̈ )/	2246		
941	2020-06-09 22:22:12	( ⸝⸝•ᴗ•⸝⸝ )	2054		
943	2020-06-09 21:58:23	♡\(*ˊᗜˋ*)/♡	3407		
945	2020-06-09 21:41:03	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	3739		
948	2020-06-09 20:58:08	⸜(* ॑꒳ ॑*  )⸝	2037		
959	2020-06-09 19:48:34	( ᐢ˙꒳​˙ᐢ )♡	1935		
960	2020-06-09 16:58:48	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1180		
960	2020-06-09 16:58:48	( *´꒳`* )	1180		
960	2020-06-09 16:58:48	(*¯꒳¯*)	1180		
